Rows,Cols,Density,ExecutionType,Time_ms,Dense_KB,CSR_KB
1000,1000,0.01,Serial,0.0132,7,0
2000,2000,0.01,Serial,0.0745,30,0
3000,3000,0.01,Serial,0.1331,68,1
4000,4000,0.01,Serial,0.2649,122,1
5000,5000,0.01,Serial,0.4431,190,2
6000,6000,0.01,Serial,0.4222,274,4
7000,7000,0.01,Serial,0.8563,373,5
8000,8000,0.01,Serial,1.0615,488,7
9000,9000,0.01,Serial,1.1706,617,9
10000,10000,0.01,Serial,2.021,762,11
20000,20000,0.01,Serial,7.8806,3051,45
1000,1000,0.01,Parallel,0.0041,7,0
2000,2000,0.01,Parallel,4.5324,30,0
3000,3000,0.01,Parallel,3.6155,68,1
4000,4000,0.01,Parallel,2.6813,122,1
5000,5000,0.01,Parallel,4.7384,190,2
6000,6000,0.01,Parallel,0.2058,274,4
7000,7000,0.01,Parallel,0.5379,373,5
8000,8000,0.01,Parallel,0.877,488,7
9000,9000,0.01,Parallel,1.2611,617,9
10000,10000,0.01,Parallel,1.7199,762,11
20000,20000,0.01,Parallel,8.5286,3051,45
1000,1000,0.02,Serial,0.027,7,0
2000,2000,0.02,Serial,0.1025,30,0
3000,3000,0.02,Serial,0.3119,68,2
4000,4000,0.02,Serial,0.7452,122,3
5000,5000,0.02,Serial,0.9542,190,5
6000,6000,0.02,Serial,1.5631,274,8
7000,7000,0.02,Serial,1.6924,373,11
8000,8000,0.02,Serial,2.356,488,14
9000,9000,0.02,Serial,3.1222,617,18
10000,10000,0.02,Serial,3.96,762,22
20000,20000,0.02,Serial,18.4562,3051,91
1000,1000,0.02,Parallel,0.1298,7,0
2000,2000,0.02,Parallel,0.1337,30,0
3000,3000,0.02,Parallel,4.1147,68,2
4000,4000,0.02,Parallel,4.9431,122,3
5000,5000,0.02,Parallel,2.9262,190,5
6000,6000,0.02,Parallel,1.9042,274,8
7000,7000,0.02,Parallel,5.9856,373,11
8000,8000,0.02,Parallel,2.8822,488,14
9000,9000,0.02,Parallel,4.2449,617,18
10000,10000,0.02,Parallel,5.0896,762,22
20000,20000,0.02,Parallel,17.1279,3051,91
1000,1000,0.05,Serial,0.047,7,0
2000,2000,0.05,Serial,0.3112,30,2
3000,3000,0.05,Serial,0.463,68,5
4000,4000,0.05,Serial,1.3362,122,9
5000,5000,0.05,Serial,1.7631,190,14
6000,6000,0.05,Serial,3.2333,274,20
7000,7000,0.05,Serial,4.6114,373,28
8000,8000,0.05,Serial,6.0632,488,36
9000,9000,0.05,Serial,8.3045,617,46
10000,10000,0.05,Serial,8.5273,762,57
20000,20000,0.05,Serial,35.4107,3051,228
1000,1000,0.05,Parallel,0.3108,7,0
2000,2000,0.05,Parallel,0.3409,30,2
3000,3000,0.05,Parallel,0.3991,68,5
4000,4000,0.05,Parallel,4.2726,122,9
5000,5000,0.05,Parallel,2.6907,190,14
6000,6000,0.05,Parallel,5.1233,274,20
7000,7000,0.05,Parallel,8.1737,373,28
8000,8000,0.05,Parallel,8.1253,488,36
9000,9000,0.05,Parallel,8.3844,617,46
10000,10000,0.05,Parallel,9.8747,762,57
20000,20000,0.05,Parallel,31.0679,3051,228
1000,1000,0.1,Serial,0.088,7,1
2000,2000,0.1,Serial,0.75,30,4
3000,3000,0.1,Serial,1.3552,68,10
4000,4000,0.1,Serial,3.1659,122,18
5000,5000,0.1,Serial,4.7298,190,28
6000,6000,0.1,Serial,7.7784,274,41
7000,7000,0.1,Serial,8.2825,373,56
8000,8000,0.1,Serial,11.0287,488,73
9000,9000,0.1,Serial,14.0016,617,92
10000,10000,0.1,Serial,17.7622,762,114
20000,20000,0.1,Serial,76.4833,3051,457
1000,1000,0.1,Parallel,0.0355,7,1
2000,2000,0.1,Parallel,0.5655,30,4
3000,3000,0.1,Parallel,2.0949,68,10
4000,4000,0.1,Parallel,5.6166,122,18
5000,5000,0.1,Parallel,6.2152,190,28
6000,6000,0.1,Parallel,7.4324,274,41
7000,7000,0.1,Parallel,9.1202,373,56
8000,8000,0.1,Parallel,13.2341,488,73
9000,9000,0.1,Parallel,14.7106,617,92
10000,10000,0.1,Parallel,20.4811,762,114
20000,20000,0.1,Parallel,52.5671,3051,457
1000,1000,0.15,Serial,0.1393,7,1
2000,2000,0.15,Serial,0.8324,30,6
3000,3000,0.15,Serial,2.3085,68,15
4000,4000,0.15,Serial,5.496,122,27
5000,5000,0.15,Serial,6.7403,190,42
6000,6000,0.15,Serial,9.0549,274,61
7000,7000,0.15,Serial,11.6861,373,84
8000,8000,0.15,Serial,16.9838,488,109
9000,9000,0.15,Serial,18.0255,617,139
10000,10000,0.15,Serial,22.3089,762,171
20000,20000,0.15,Serial,87.9676,3051,686
1000,1000,0.15,Parallel,0.3065,7,1
2000,2000,0.15,Parallel,3.6914,30,6
3000,3000,0.15,Parallel,7.7556,68,15
4000,4000,0.15,Parallel,5.4601,122,27
5000,5000,0.15,Parallel,7.8029,190,42
6000,6000,0.15,Parallel,13.7661,274,61
7000,7000,0.15,Parallel,12.8675,373,84
8000,8000,0.15,Parallel,16.1116,488,109
9000,9000,0.15,Parallel,22.0421,617,139
10000,10000,0.15,Parallel,29.2607,762,171
20000,20000,0.15,Parallel,56.3792,3051,686
1000,1000,0.2,Serial,0.3533,7,2
2000,2000,0.2,Serial,1.3726,30,9
3000,3000,0.2,Serial,3.2171,68,20
4000,4000,0.2,Serial,5.4413,122,36
5000,5000,0.2,Serial,8.6083,190,57
6000,6000,0.2,Serial,11.7416,274,82
7000,7000,0.2,Serial,15.1928,373,112
8000,8000,0.2,Serial,19.1534,488,146
9000,9000,0.2,Serial,24.1901,617,185
10000,10000,0.2,Serial,28.7693,762,228
20000,20000,0.2,Serial,115.92,3051,915
1000,1000,0.2,Parallel,7.9598,7,2
2000,2000,0.2,Parallel,3.3217,30,9
3000,3000,0.2,Parallel,3.4663,68,20
4000,4000,0.2,Parallel,7.8937,122,36
5000,5000,0.2,Parallel,11.2282,190,57
6000,6000,0.2,Parallel,11.3676,274,82
7000,7000,0.2,Parallel,17.4422,373,112
8000,8000,0.2,Parallel,20.7477,488,146
9000,9000,0.2,Parallel,24.5977,617,185
10000,10000,0.2,Parallel,29.1442,762,228
20000,20000,0.2,Parallel,78.2066,3051,915
